유형,표제어,뜻풀이,예문,비고
로마자 표기법,- 카펫 (O) 카페트 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 콤팩트 (O) 컴팩트 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 콘셉트 (O) 컨셉트 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 콘텐츠 (O) 컨텐츠 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 커닝 (O) 컨닝 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 러닝 (O) 런닝 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 아이섀도 (O) 아이섀도우 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 앙코르 (O) 앵콜 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 앙케트 (O) 앙케이트 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 수프 (O) 스프 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 슈퍼마켓 (O) 수퍼마켓 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 플래시 (O) 후레쉬 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 플루트 (O) 플룻 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 파이버 (O) 화이바 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 프리지어 (O) 프리지아 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 프레젠테이션 (O) 프리젠테이션 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 프런티어 (O) 프론티어 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 할리우드 (O) 헐리우드 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 라이선스 (O) 라이센스 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 마니아 (O) 매니아 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 난센스 (O) 넌센스 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 아웃렛 (O) 아울렛 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 팸플릿 (O) 팜플렛 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 판다 (O) 팬더 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 레퍼토리 (O) 레파토리 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 리포트 (O) 레포트 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 로열 (O) 로얄 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 새시 (O) 샷시 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 소시지 (O) 소세지 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 소파 (O) 쇼파 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 심벌 (O) 심볼 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 토털 (O) 토탈 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 밸런타인데이 (O) 발렌타인데이 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 워크숍 (O) 워크샵 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 가스레인지 (O) 가스렌지 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 가톨릭 (O) 카톨릭 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 깁스 (O) 기브스 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 옐로 (O) 옐로우 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 크리스털 (O) 크리스탈 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 타깃 (O) 타겟 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 알코올 (O) 알콜 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 푸껫 (O) 푸켓 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 로스앤젤레스 (O) 로스엔젤레스 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
외래어,어법(로마자,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 독립문,= Dongnimmun,,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 돈의문,= Donuimun,,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 종로,= Jongno,,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 광희문,= Gwanghuimun,,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 대관령,= Daegwallyeong,,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 압록강,= Amnokgang,,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 설악,= Seorak,,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 울릉,= Ulleung,,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 백마,= Baengma,,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 학여울,= Hangnyeoul,,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 을왕리,= Eurwangni,,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 알약,= allyak,,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 집현전,= Jiphyeonjeon,,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 압구정,= Apgujeong,,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 속리산,= Songnisan,,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 안압지,= Anapji,,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 합덕,= Hapdeok,,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 촉석루,= Chokseongnu,,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 경복궁,= Gyeongbokgung,,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 붓꽃,= buskkoch,,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 먹는,= meongneun,,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 물엿,= mul-yeos,,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 해돋이,= haedoji,,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 같이,= gachi,,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 좋고,= joko,,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 좋다,= johda,,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 놓다,= nota,,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 맏형,= mathyeong,,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
표준어 규정,어법(표준어 규정,),,auto from KBS 한국어능력시험 어법(표준어 규정 and 표준 발음법).docx
표준어 규정,- 나팔,꽃,,auto from KBS 한국어능력시험 어법(표준어 규정 and 표준 발음법).docx
표준어 규정,- 새벽녘,", 동틀 녘",,auto from KBS 한국어능력시험 어법(표준어 규정 and 표준 발음법).docx
표준어 규정,- 사글세(,= 월세),,auto from KBS 한국어능력시험 어법(표준어 규정 and 표준 발음법).docx
표준어 규정,- 둘째,", 셋째, 열두째, 스물두째",,auto from KBS 한국어능력시험 어법(표준어 규정 and 표준 발음법).docx
표준어 규정,- 수꿩,", 수놈, 수소, 수캉아지, 수캐, 수컷, 수탕나귀, 수퇘지, 수평아리",,auto from KBS 한국어능력시험 어법(표준어 규정 and 표준 발음법).docx
표준어 규정,- 숫양,", 숫염소, 숫쥐",,auto from KBS 한국어능력시험 어법(표준어 규정 and 표준 발음법).docx
표준어 규정,- 아지랑,이,,auto from KBS 한국어능력시험 어법(표준어 규정 and 표준 발음법).docx
표준어 규정,- 미장이,", 유기장이",,auto from KBS 한국어능력시험 어법(표준어 규정 and 표준 발음법).docx
표준어 규정,- 개구쟁이,", 멋쟁이, 소금쟁이",,auto from KBS 한국어능력시험 어법(표준어 규정 and 표준 발음법).docx
표준어 규정,- 가자미,", 아기, 차이다",,auto from KBS 한국어능력시험 어법(표준어 규정 and 표준 발음법).docx
표준어 규정,- 괴팍하다,", 케케묵다",,auto from KBS 한국어능력시험 어법(표준어 규정 and 표준 발음법).docx
표준어 규정,- 여느,", 으레, 허우대",,auto from KBS 한국어능력시험 어법(표준어 규정 and 표준 발음법).docx
표준어 규정,- 윗눈썹,", 윗니, 윗도리, 윗잇몸",,auto from KBS 한국어능력시험 어법(표준어 규정 and 표준 발음법).docx
표준어 규정,- 위쪽,", 위층, 위턱",,auto from KBS 한국어능력시험 어법(표준어 규정 and 표준 발음법).docx
표준어 규정,- 웃돈,", 웃어른, 웃옷",,auto from KBS 한국어능력시험 어법(표준어 규정 and 표준 발음법).docx
표준어 규정,- (복수 표준어) 가뭄/가물,", 옥수수/강냉이, 여태껏/이제껏/입때껏, 가엾다/가엽다, 넝쿨/덩굴, 풀무/풍구, 복숭아뼈/복사뼈, 우레/천둥, 까다롭다/까탈스럽다, 연달다/ 잇달다, 게을러빠지다/게을러터지다",,auto from KBS 한국어능력시험 어법(표준어 규정 and 표준 발음법).docx
표준 발음법,어법(표준 발음법,),,auto from KBS 한국어능력시험 어법(표준어 규정 and 표준 발음법).docx
표준 발음법,- 밟다[밥,"따], 밟으면[발브면], 밟고[밥:꼬], 밟는[밥:는]",,auto from KBS 한국어능력시험 어법(표준어 규정 and 표준 발음법).docx
표준 발음법,- 신다[신,"따], 신어[시너]",,auto from KBS 한국어능력시험 어법(표준어 규정 and 표준 발음법).docx
표준 발음법,- 떫다[떨,"따], 떫은[떨븐]",,auto from KBS 한국어능력시험 어법(표준어 규정 and 표준 발음법).docx
표준 발음법,- 없다[업,"따], 없으니[업:쓰니]",,auto from KBS 한국어능력시험 어법(표준어 규정 and 표준 발음법).docx
표준 발음법,- 닦다[닥따],", 뱉다[밷:따]",,auto from KBS 한국어능력시험 어법(표준어 규정 and 표준 발음법).docx
표준 발음법,- 넓죽하다[넙쭈카다],", 넓둥글다[넙뚱글다]",,auto from KBS 한국어능력시험 어법(표준어 규정 and 표준 발음법).docx
표준 발음법,- 놓는[논는],", 쌓네[싼네], 않는[안는]",,auto from KBS 한국어능력시험 어법(표준어 규정 and 표준 발음법).docx
표준 발음법,- 뚫네[뚤레],", 뚫는[뚤른]",,auto from KBS 한국어능력시험 어법(표준어 규정 and 표준 발음법).docx
표준 발음법,- 쌓이다[싸이다],", 많아[마:나], 않은[아는]",,auto from KBS 한국어능력시험 어법(표준어 규정 and 표준 발음법).docx
표준 발음법,- 닭을[달글],", 넋이[넉씨], 곬이[골씨], 핥아[할타], 읊어[을퍼], 설익은[설리근]",,auto from KBS 한국어능력시험 어법(표준어 규정 and 표준 발음법).docx
표준 발음법,- 밭 아래[바다래],", 맛없다[마덥따], 겉옷[거돋], 헛웃음[허두슴]",,auto from KBS 한국어능력시험 어법(표준어 규정 and 표준 발음법).docx
표준 발음법,- 국물[궁물],", 긁는[긍는], 붙는[분는], 밥물[밤물], 읊는[음는]",,auto from KBS 한국어능력시험 어법(표준어 규정 and 표준 발음법).docx
표준 발음법,- 석류[성뉴],", 담력[담:녁], 막론[망논], 협력[혐녁], 항로[항:노], 법니[범니], 밭이랑[반니랑]",,auto from KBS 한국어능력시험 어법(표준어 규정 and 표준 발음법).docx
표준 발음법,- 광한루[광,"할루], 닳는[달른], 줄넘기[줄럼끼], 선릉[설릉], 핥네[할레]",,auto from KBS 한국어능력시험 어법(표준어 규정 and 표준 발음법).docx
표준 발음법,- 임진란[임,"진난], 생산량[생산냥], 결단력[결딴녁], 공권력[공꿘녁], 상견례[상견녜], 입원료[이붠뇨], 뒷공론[뒫:꽁논]",,auto from KBS 한국어능력시험 어법(표준어 규정 and 표준 발음법).docx
표준 발음법,- 넋받이[넉빠지],", 닭장[닥짱], 있던[읻떤], 낯설다[낟썰다], 값지다[갑찌다]",,auto from KBS 한국어능력시험 어법(표준어 규정 and 표준 발음법).docx
표준 발음법,- 훑소[훌쏘],", 떫지[떨:찌], 얹다[언따]",,auto from KBS 한국어능력시험 어법(표준어 규정 and 표준 발음법).docx
표준 발음법,- 갈등[갈뜽],", 불세출[불쎄출], 일시[일씨], 물질[물찔], 발전[발쩐], 몰상식[몰쌍식]",,auto from KBS 한국어능력시험 어법(표준어 규정 and 표준 발음법).docx
표준 발음법,- 바람결[바람껼],", 그믐달[그믐딸], 아침밥[아침빱], 초승달[초승딸], 등불[등뿔]",,auto from KBS 한국어능력시험 어법(표준어 규정 and 표준 발음법).docx
표준 발음법,- 꽃잎[꼰닙],", 내복약[내:봉냑], 늑막역[능망념], 막일[망닐]",,auto from KBS 한국어능력시험 어법(표준어 규정 and 표준 발음법).docx
표준 발음법,- 색연필[생년필],", 늦여름[는녀름], 식용유[시굥뉴], 몫몫이[몽목씨]",,auto from KBS 한국어능력시험 어법(표준어 규정 and 표준 발음법).docx
표준 발음법,- 실례[실례],", 가져[가저], 희망[히망]",,auto from KBS 한국어능력시험 어법(표준어 규정 and 표준 발음법).docx
표준 발음법,- 그럼요[그러묘],", 유들유들[유들류들]",,auto from KBS 한국어능력시험 어법(표준어 규정 and 표준 발음법).docx
띄어쓰기,[KBS 한국어능력시험] 어법(띄어쓰기) 요약 정,리,,auto from KBS 한국어능력시험 어법(띄어쓰기) 요약 정리.docx
띄어쓰기,- 공공 기관 (O) 공공기관 (X,),,auto from KBS 한국어능력시험 어법(띄어쓰기) 요약 정리.docx
띄어쓰기,- 경기 부양 (O) 경기부양 (X,),,auto from KBS 한국어능력시험 어법(띄어쓰기) 요약 정리.docx
띄어쓰기,- 협력 업체 (O) 협력업체 (X,),,auto from KBS 한국어능력시험 어법(띄어쓰기) 요약 정리.docx
띄어쓰기,- 중간보고 (O) 중간 보고 (X,),,auto from KBS 한국어능력시험 어법(띄어쓰기) 요약 정리.docx
띄어쓰기,- 안전사고 (O) 안전 사고 (X,),,auto from KBS 한국어능력시험 어법(띄어쓰기) 요약 정리.docx
띄어쓰기,- 속도위반 (O) 속도 위반 (X,),,auto from KBS 한국어능력시험 어법(띄어쓰기) 요약 정리.docx
띄어쓰기,- 괴로움 따위 (O) 괴로움따위 (X,),,auto from KBS 한국어능력시험 어법(띄어쓰기) 요약 정리.docx
띄어쓰기,- 만 원어치 (O) 만원어치 (X,),,auto from KBS 한국어능력시험 어법(띄어쓰기) 요약 정리.docx
띄어쓰기,- 만 원 남짓 (O) 만 원남짓 (X,),,auto from KBS 한국어능력시험 어법(띄어쓰기) 요약 정리.docx
띄어쓰기,- 나간 지도 (O) 나간지도 (X,),,auto from KBS 한국어능력시험 어법(띄어쓰기) 요약 정리.docx
띄어쓰기,- 먹을 만큼만 (O) 먹을만큼만 (X,),,auto from KBS 한국어능력시험 어법(띄어쓰기) 요약 정리.docx
띄어쓰기,- 진학 지도 (O) 진학지도 (X,),,auto from KBS 한국어능력시험 어법(띄어쓰기) 요약 정리.docx
띄어쓰기,- 높을뿐더러 (O) 높을 뿐더러 (X,),,auto from KBS 한국어능력시험 어법(띄어쓰기) 요약 정리.docx
띄어쓰기,- 과민 반응 (O) 과민반응 (X,),,auto from KBS 한국어능력시험 어법(띄어쓰기) 요약 정리.docx
띄어쓰기,- 윤리 의식 (O) 윤리의식 (X,),,auto from KBS 한국어능력시험 어법(띄어쓰기) 요약 정리.docx
띄어쓰기,- 역사의식 (O) 역사 의식 (X,),,auto from KBS 한국어능력시험 어법(띄어쓰기) 요약 정리.docx
띄어쓰기,- 못쓴다 (O) 못 쓴다 (X,),,auto from KBS 한국어능력시험 어법(띄어쓰기) 요약 정리.docx
띄어쓰기,- 비 오듯 (O) 비오듯 (X,),,auto from KBS 한국어능력시험 어법(띄어쓰기) 요약 정리.docx
띄어쓰기,- 빨리는커녕 (O) 빨리는 커녕 (X,),,auto from KBS 한국어능력시험 어법(띄어쓰기) 요약 정리.docx
띄어쓰기,- 시키는 대로 (O) 시키는대로 (X,),,auto from KBS 한국어능력시험 어법(띄어쓰기) 요약 정리.docx
띄어쓰기,- 실력 면에서는 (O) 실력면에서는 (X,),,auto from KBS 한국어능력시험 어법(띄어쓰기) 요약 정리.docx
띄어쓰기,- 일주일간의 (O) 일주일 간의 (X,),,auto from KBS 한국어능력시험 어법(띄어쓰기) 요약 정리.docx
띄어쓰기,- 철수조차 (O) 철수 조차 (X,),,auto from KBS 한국어능력시험 어법(띄어쓰기) 요약 정리.docx
띄어쓰기,- 집 밖에 (O) 집밖에 (X,),,auto from KBS 한국어능력시험 어법(띄어쓰기) 요약 정리.docx
띄어쓰기,- 비는커녕 (O) 비는 커녕 (X,),,auto from KBS 한국어능력시험 어법(띄어쓰기) 요약 정리.docx
띄어쓰기,- 할 만큼 (O) 할만큼 (X,),,auto from KBS 한국어능력시험 어법(띄어쓰기) 요약 정리.docx
띄어쓰기,- 한 이불 (O) 한이불 (X,),,auto from KBS 한국어능력시험 어법(띄어쓰기) 요약 정리.docx
맞춤법,[KBS 한국어능력시험] 어법(맞춤법) 요약 정,리,,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 객쩍다(O) 객적다(X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 겸연쩍다 (O) 겸연적다 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 고깔 (O) 꼬깔 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 곱빼기 (O) 곱배기 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 껍질째 (O) 껍질채 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 끔찍이 (O) 끔찍히 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 널빤지 (O) 널판지 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 서슴지 않다 (O) 서슴치 않다 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 십상이다 (O) 쉽상이다 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 생각건대 (O) 생각컨대 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 얼루기 (O) 얼룩이 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 오랜만 (O) 오랫만 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 오랫동안 (O) 오랜동안 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 익숙지 않다(O) 익숙치 않다 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 덤터기 (O) 덤테기 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 뚜렷이 (O) 뚜렷히 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 머리말 (O) 머릿말 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 웬일이니 (O) 왠일이니 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 조그마하다 (O) 조그만하다 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 잠갔다 (O) 잠궜다 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 짜깁기 (O) 짜집기 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 치르다 (O) 치루다 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 치렀다 (O) 치뤘다 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 허구한 날 (O) 허구헌 날 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 결딴나다 (O) 결단나다 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 내로라 (O) 내노라 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 넉넉지 않다 (O) 넉넉치 않다 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 늦깎이 (O) 늦깍이 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 추스르다 (O) 추스리다 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 에계 (O) 에게 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 애먼 (O) 엄한 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 되레 (O) 되려 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 소맷귀 (O) 소매깃/소맷깃 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 지르밟다 (O) 즈려밟다 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 퀴퀴하다 (O) 퀘퀘하다 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 화를/입맛을 돋우다 (O) 화를/입맛을 돋구다 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 합격률 (O) 합격율 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 희석률 (O) 희석율 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 출석률 (O) 출석율 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 취업률 (O) 취업율 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 백분율 (O) 백분률 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 선짓국 (O) 선지국 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 조갯살 (O) 조개살 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 아랫니 (O) 아래니 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 아랫마을 (O) 아래마을 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 뒷머리 (O) 뒤머리(X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 베갯잇 (O) 베개잇 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 나뭇잎 (O) 나무잎 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 아랫방 (O) 아래방 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 전셋집 (O) 전세집 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 전세방 (O) 전셋방 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 제삿날 (O) 제사날 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 양칫물 (O) 양치물 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
맞춤법,- 예삿일 (O) 예사일 (X,),,auto from KBS 한국어능력시험 어법(맞춤법) 요약 정리.docx
